AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
9	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Bowenia		serrulata	(W.Bull) Chamb.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
10	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Bowenia		spectabilis	Hook. ex Hook.f.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
16	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		alvarezii	Pérez-Farr., Vovides & Iglesias		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
19	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		brevifrons	Miq.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
818	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		chamberlainii	Mart.-Domínguez, Nic.-Mor. & D.W.Stev.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
20	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		chimalapensis	Pérez-Farr. & Vovides		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
21	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		decumbens	Vovides, Avendaño, Pérez-Farr. & Gonz.-Astorga		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
632	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		delucana	Vázq.Torres, A.Moretti & Carvajal-Hern.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
22	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		euryphyllidia	Vázq.Torres, Sabato & D.W.Stev.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
374	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		fuscoviridis	W.Bull		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
24	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		hildae	G.P.Landry & M.C.Wilson		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
25	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		hondurensis	J.L.Haynes, Whitelock, Schutzman & R.S.Adams		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
26	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		huastecorum	Avendaño, Vovides & Cast.-Campos		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
29	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		kuesteriana	Regel		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
30	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		latifolia	Miq.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
32	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		matudae	Lundell		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
33	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		mexicana	Brongn.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
35	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		microstrobila	Vovides & J.D.Rees		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
36	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		miqueliana	H.Wendl.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
37	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		mirandae	Vovides, Pérez-Farr. & Iglesias		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
38	Plantae	Tracheophyta	Cycadopsida			Zamiaceae	Ceratozamia		mixeorum	Chemnick, T.J.Greg. & Salas-Mor.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
