AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Cyd-9	Australia (Queensland)	text	
Cyd-10	Australia (Queensland)	text	
Cyd-16	Mexico (Chiapas)	text	
Cyd-17	Mexico (Chiapas, Tabasco)	text	
Cyd-19	Mexico (Veracruz)	text	
Cyd-818	Mexico (Hidalgo, Querétaro, San Luis Potosí)	text	
Cyd-20	Mexico (Oaxaca)	text	
Cyd-21	Mexico (Veracruz)	text	
Cyd-632	Mexico (Veracruz)	text	
Cyd-22	Mexico (Oaxaca, Veracruz)	text	
Cyd-374	Mexico (Hidalgo, Veracruz)	text	
Cyd-24	Mexico (Querétaro, San Luis Potosí)	text	
Cyd-25	Honduras (Atlántida)	text	
Cyd-26	Mexico (Veracruz)	text	
Cyd-29	Mexico (Tamaulipas)	text	
Cyd-30	Mexico (Hidalgo, Querétaro, San Luis Potosí, Veracruz)	text	
Cyd-32	Guatemala (Huehuetenango, San Marcos), Mexico (Chiapas)	text	
Cyd-33	Mexico (?Puebla, Veracruz)	text	
Cyd-35	Mexico (San Luis Potosí)	text	
Cyd-36	Mexico (Chiapas, Tabasco, Veracruz)	text	
Cyd-37	Mexico (Chiapas)	text	
Cyd-38	Mexico (Oaxaca)	text	
Cyd-39	Mexico (Veracruz)	text	
Cyd-40	Mexico (Chiapas, Oaxaca)	text	
Cyd-41	Belize (Cayo, Stann Creek, Toledo), Guatemala (Alta Verapaz, Petén, Quiché, Huehuetenango, Izabal), Mexico (Chiapas, Oaxaca, Veracruz)	text	
Cyd-42	Mexico (Hidalgo, Querétaro)	text	
Cyd-43	Mexico (Chiapas)	text	
Cyd-817	Mexico (Veracruz)	text	
Cyd-793	Mexico (Veracruz)	text	
Cyd-814	Mexico (Puebla)	text	
Cyd-44	Mexico (Chiapas)	text	
Cyd-45	Mexico (Oaxaca)	text	
Cyd-46	Mexico (San Luis Potosí)	text	
Cyd-47	Mexico (Chiapas, Tabasco)	text	
Cyd-52	Vietnam (Da Nang)	text	
Cyd-54	Philippines (Palawan - cult.)	text	
Cyd-55	Australia (Northern Territory, Queensland)	text	
Cyd-56	India (Kerala)	text	
Cyd-57	Indonesia (Papua), Papua New Guinea (West Sepik, Morobe)	text	
Cyd-58	Australia (Northern Territory)	text	
Cyd-59	Australia (Northern Territory)	text	
Cyd-60	Australia (Northern Territory)	text	
Cyd-574	Australia (Northern Territory)	text	
Cyd-61	Australia (Northern Territory)	text	
Cyd-62	Australia (Northern Territory)	text	
Cyd-63	Australia (Queensland [Badu and Moa Islands])	text	
Cyd-829	China (Guangxi)	text	
Cyd-65	China (Guangxi), Vietnam (Lang Son, Quang Ninh, Thai Nguyen, Vinh Phuc)	text	
Cyd-66	Australia (WA)	text	
Cyd-67	India (Andhra Pradesh)	text	
Cyd-69	China (Guangxi), Vietnam (Cao Bang, Lang Son, Tuyen Quang)	text	
Cyd-70	Papua New Guinea (Bougainville, New Britain), Solomon Islands	text	
Cyd-71	Vietnam (Bac Kan)	text	
Cyd-73	Australia (Queensland)	text	
Cyd-75	Australia (Queensland)	text	
Cyd-76	Australia (Northern Territory)	text	
Cyd-77	Papua New Guinea (Central, Gulf)	text	
Cyd-79	Australia (Northern Territory)	text	
Cyd-80	Australia (Queensland)	text	
Cyd-81	Malaysia (Johor)	text	
Cyd-83	Thailand (Chantaburi)	text	
Cyd-85	China (Hainan)	text	
Cyd-665	China (Yunnan)	text	
Cyd-86	Vietnam (Ha Tinh, Nghe An, Quang Binh, Quang Tri)	text	
Cyd-87	India (Andra Pradesh, Karnataka, Kerala, Maharashtra, Tamil Nadu)	text	
Cyd-107	Cambodia, Malaysia (Kedah, Perak, Selangor), Thailand (Chumphon, Narathiwat, Phangnga, Phuket, Prachin Buri, Rayong, Ranong, Trang), Vietnam (An Giang, Kien Giang)	text	
Cyd-109	Vietnam (Son La)	text	
Cyd-110	Vietnam (Ba Ria-Vung Tau)	text	
Cyd-111	Australia (Northern Territory)	text	
Cyd-112	Australia (Queensland)	text	
Cyd-114	Australia (Queensland)	text	
Cyd-115	Philippines (Palawan)	text	
Cyd-116	China (Guangxi)	text	
Cyd-117	Australia (Queensland)	text	
Cyd-118	China (Yunnan), ?N Vietnam	text	
Cyd-820	Australia (Qld)	text	
Cyd-119	China (Guangxi, Yunnan), ?Laos, Vietnam (Bac Kan, Cao Bang, Ha Giang, Hoa Binh, Lai Chau, Lao Cai, Ninh Binh, Son La, Thai Nguyen, Thanh Hoa, Tuyen Quang)	text	
Cyd-120	"Indonesia (Bali, Bengkulu, Jawa
Barat, Jawa Tengah, Jawa Timur,
Lampung, Riau, Sumatra Utara),
Malaysia (Johore, Langkawi,
Malacca, Pahang, Perak, Sabah,
Sarawak, Terengganu), Myanmar,
Philippines (Balabac, Basilan,
Cebu, Masbate, Mindanao,
Mindoro, Negros, Palawan, Panay,
Polillo), Singapore (Changi), Thailand
(Chumphon, Narathiwat,
Phang Nga, Phu Ket, Satun, Trang,
Trat), Vietnam (Kien Giang)"	text	
Cyd-121	Thailand (Chaiyaphum)	text	
Cyd-122	Vietnam (Binh Dinh, Khanh Hoa, Ninh Thuan, Phu Yen, Quang Ngai)	text	
Cyd-123	China (Guangdong)	text	
Cyd-124	Indonesia (Sulawesi Selatan, Sulawesi Tenggara)	text	
Cyd-125	China (Guangxi), Vietnam (Lang Son, Thai Nguyen)	text	
Cyd-126	Vietnam (Phu Tho)	text	
Cyd-127	Australia (WA)	text	
Cyd-128	East Timor, Indonesia (Nusa Tenggara Timur [Sumba Barat, Sumba Timur, Timur Barat])	text	
Cyd-133	China (Guangxi, Guizhou, Yunnan)	text	
Cyd-134	China (Hainan)	text	
Cyd-136	Vietnam (Ha Nam, Ha Tay, Hoa Binh, Ninh Binh)	text	
Cyd-137	China (Yunnan)	text	
Cyd-140	India (Karnataka)	text	
Cyd-141	Laos (Khammouan), Vietnam (Da Nang, Dong Nai, Khanh Hoa, Quang Nam)	text	
Cyd-142	Indonesia (Jawa Barat, Jawa Tengah, Jawa Timur)	text	
Cyd-145	Philippines (Davao Oriental)	text	
Cyd-146	Australia (WA)	text	
Cyd-653	Laos (Khammouan)	text	
Cyd-147	Vietnam (Ba Ria-Vung Tau, Binh Thuan, Khanh Hoa, Ninh Thuan)	text	
Cyd-154	Australia (Northern Territory)	text	
Cyd-155	Australia (Northern Territory)	text	
Cyd-575	Australia (Northern Territory)	text	
Cyd-156	Australia (Northern Territory)	text	
Cyd-157	Laos (Vientiane), Malaysia (Kelantan, Pahang, Terengganu), Thailand (Chantaburi, Chumphon, Narathiwat, Ranong)	text	
Cyd-159	Australia (Queensland)	text	
Cyd-160	Australia (Queensland)	text	
Cyd-161	Australia (Queensland)	text	
Cyd-576	Australia (Queensland)	text	
Cyd-162	Australia (Queensland)	text	
Cyd-163	Laos (Champasak, Saravan), Vietnam (Dac Lak, Gia Lai, Kon Tum)	text	
Cyd-165	Guam, Micronesia (Yap), Northern Mariana Islands (Rota), Palau	text	
Cyd-167	Indonesia (Nusa Tenggara Timur)	text	
Cyd-169	China (Yunnan)	text	
Cyd-170	China (Yunnan), Vietnam (Yen Bai)	text	
Cyd-172	India (Tamil Nadu), N Sri Lanka	text	
Cyd-674	India (Odisha)	text	
Cyd-173	Philippines (Albay, Cagayan, Quezon, Northern Samar)	text	
Cyd-174	Laos (Vientiane), Thailand (Nakhon Sawan)	text	
Cyd-176	Australia (Queensland)	text	
Cyd-177	Australia (Northern Territory)	text	
Cyd-673	India (Odisha)	text	
Cyd-178	Vietnam (Binh Thuan, Ninh Thuan)	text	
Cyd-180	China (Sichuan, Yunnan)	text	
Cyd-181	Indonesia (Papua), Papua New Guinea (Western)	text	
Cyd-183	Bangladesh, Bhutan, China (Yunnan), India (Assam, Manipur, Meghalaya, Sikkim, West Bengal), Laos, Myanmar, Nepal, Thailand (Chiang Mai, Kanchanaburi, Mae Hong Son, Phetchabun, Phrae, Sukhothai), Vietnam (Binh Dinh, Gia Lai, Kon Tum, Lam Dong, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai)	text	
Cyd-186	Laos (Vientiane),Thailand (Loei)	text	
Cyd-187	Australia (Queensland)	text	
Cyd-188	Thailand (Prachuap Khiri Khan)	text	
Cyd-189	Australia (Northern Territory, WA)	text	
Cyd-191	China (Fujian), Japan (Ryukyu Islands)	text	
Cyd-196	Philippines (Bataan, Batanes, Batangas, Cagayan, Cavite, Isabela, Laguna, Pampanga)	text	
Cyd-197	Australia (Ashmore Reef, Christmas Island) Indonesia (Jawa Timur, Kalimantan Barat, Maluku, Papua, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, West Papu), Papua New Guinea (West Sepik).	text	
Cyd-595	India (Andaman and Nicobar Islands Territory)	text	
Cyd-202	Philippines (Misamis Oriental)	text	
Cyd-203	Philippines (Palawan)	text	
Cyd-204	Papua New Guinea (Eastern Highlands, Madang, Morobe)	text	
Cyd-205	Australia (Queensland [Murray Island]), Indonesia (Papua, Maluku, Papua Barat), Papua New Guinea (Central, Gulf, Milne Bay, Western)	text	
Cyd-206	Fiji, New Caledonia, Tonga, Vanuatu	text	
Cyd-207	China (Guangxi, Guizhou, Yunnan), ?N Vietnam	text	
Cyd-208	Australia (Queensland)	text	
Cyd-815	India (Andhra Pradesh)	text	
Cyd-210	China (Guangxi), Vietnam (Cao Bang, Ninh Binh, Thanh Hoa)	text	
Cyd-211	China (Hainan Island)	text	
Cyd-213	Cambodia, Laos (Champasak, Saravan), Myanmar, Thailand (Chachoengsao, Chaiyaphum, Chon Buri, Kanchanaburi, Lampang, Nakhon Ratchasima, Phetchabun, Ratchaburi, Sakon Nakhon, Tak, Uthai Thani, Uttaridit), Vietnam (Dac Lak, Gia Lai, Kon Tum, Nghe An, Tha	text	
Cyd-215	Australia (Queensland)	text	
Cyd-216	China (Yunnan), Laos (Saravan), ?Myanmar, Thailand (Chiang Mai, Loei, Mae Hong Song, Phrae), Vietnam (Quang Tri)	text	
Cyd-217	India (Andhra Pradesh, Karnataka, Odisha, Tamil Nadu)	text	
Cyd-219	Indonesia (Nusa Tenggara Timur)	text	
Cyd-221	China (Fujian)	text	
Cyd-577	China (Fujian)	text	
Cyd-223	China (Taiwan)	text	
Cyd-224	China (Fujian, Guangdong)	text	
Cyd-225	China (Yunnan), ?Vietnam (Lai Chau)	text	
Cyd-226	Thailand (Saraburi)	text	
Cyd-227	Australia (Queensland)	text	
Cyd-228	Comoros, Kenya, Madagascar, Mozambique, Seychelles, Tanzania	text	
Cyd-230	Vietnam (Hai Phong, Quang Ninh)	text	
Cyd-232	Australia (Queensland)	text	
Cyd-234	Philippines (Cebu, Iloilo, Leyte, Marinduque, Mindoro Oriental, Negros Oriental, Samar)	text	
Cyd-235	Philippines (Palawan)	text	
Cyd-238	Australia (Queensland)	text	
Cyd-239	Australia (Queensland)	text	
Cyd-240	Philippines (Zambales)	text	
Cyd-241	India (Andaman and Nicobar Islands), S Sri Lanka	text	
Cyd-244	Mexico (Nuevo León, Tamaulipas)	text	
Cyd-245	Mexico (Oaxaca)	text	
Cyd-246	Mexico (Oaxaca, Puebla)	text	
Cyd-247	Mexico (Oaxaca, Puebla)	text	
Cyd-248	Mexico (Hidalgo, Querétaro, San Luis Potosí, Tamaulipas, Veracruz)	text	
Cyd-255	Mexico (Oaxaca)	text	
Cyd-257	Honduras (Colón, Olancho, Yoro)	text	
Cyd-258	Mexico (Chiapas, Oaxaca)	text	
Cyd-740	Mexico (Oaxaca)	text	
Cyd-259	Mexico (Oaxaca)	text	
Cyd-260	Mexico (Oaxaca)	text	
Cyd-261	Mexico (Sinaloa, Sonora)	text	
Cyd-262	Mexico (Oaxaca, Veracruz)	text	
