ReferenceID	Authors	Year	Title	Details
Cyd-Ref-2	Regel	1876		In: Gartenflora 25: 141
Cyd-Ref-3	Regel	1876		In: Gartenflora 25: 141
Cyd-Ref-4	Regel	1876		In: Gartenflora 25: 141
Cyd-Ref-5	Regel	1876		In: Gartenflora 25: 141
Cyd-Ref-6	Regel	1876		In: Gartenflora 25: 143
Cyd-Ref-7	Regel	1876		In: Gartenflora 25: 143
Cyd-Ref-9	Chamb.	1912		In: Bot. Gaz. 54: 419
Cyd-Ref-10	Hook. ex Hook.f.	1863		In: Bot. Mag. 89: t. 5398
Cyd-Ref-11	F.M.Bailey	1883		In: Syn. Queensl. Fl.: 501
Cyd-Ref-12	W.Bull	1878		In: Retail List [Bull] No. 143: 4, t. 5
Cyd-Ref-681		1878		In: Retail List [Bull] No. 143: 4
Cyd-Ref-14	W.Hill	1865		In: Gard. Chron. 22(47): 1107
Cyd-Ref-16	Pérez-Farr., Vovides & Iglesias	1999		In: Novon 9(3) 410-413, fig. 1
Cyd-Ref-17	Pérez-Farr., Vovides & Schutzman	2004		In: Bot. J. Linn. Soc. 146(1): 123-128, figs. 1-7
Cyd-Ref-18	Brongn.	1846		In: Ann. Sci. Nat., Bot. ser. 3, 5: 9
Cyd-Ref-19	Miq.	1847		In: Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 41-42
Cyd-Ref-818	Mart.-Domínguez, Nic.-Mor. & D.W.Stev.	2017		In: Phytotaxa 317(1): 17-28
Cyd-Ref-20	Pérez-Farr. & Vovides	2008		In: Bot. J. Linn. Soc. 157(2): 169-175, figs. 1-4
Cyd-Ref-21	Vovides, Avendaño, Pérez-Farr. & Gonz.-Astorga	2008		In: Novon 18(1): 109-114, fig. 1
Cyd-Ref-632	Vázq.Torres, A.Moretti & Carvajal-Hern.	2013		In: Delpinoa 50-51: 129-133, figs. 1-5 (2008-2009 issued December 2013)
Cyd-Ref-22	Vázq.Torres, Sabato & D.W.Stev.	1986		In: Brittonia 38(1): 17-26, figs. 1-5
Cyd-Ref-23	Moore	1878		In: Sci. Proc. Royal Dublin Soc., n.s., 2: 112-114
Cyd-Ref-374	W.Bull	1879		In: Retail List [Bull] No. 154: 4
Cyd-Ref-24	G.P.Landry & M.C.Wilson	1979		In: Brittonia 31(3): 422-424, fig. 1
Cyd-Ref-25	J.L.Haynes, Whitelock, Schutzman & R.S.Adams	2008		In: Cycad Newslett. 31 (2-3): 16-21, figs. 1-2
Cyd-Ref-26	Avendaño, Vovides & Cast.-Campos	2003		In: Bot. J. Linn. Soc. 141(3): 395-398, figs. 1-2
Cyd-Ref-27	Miq.	1847		In: Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 40-41
Cyd-Ref-28	Regel	1876		In: Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 298
Cyd-Ref-29	Regel	1857		In: Bull. Soc. Imp. Naturalistes Moscou 30(1): 187-188, t. 3, fig. 6; t. 4, fig. 22
Cyd-Ref-30	Miq.	1847		In: Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 206
Cyd-Ref-31	Miq.	1847		In: Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 40
Cyd-Ref-32	Lundell	1939		In: Lloydia 2(2): 75-76
Cyd-Ref-33	Brongn.	1846		In: Ann. Sci. Nat., Bot. ser. 3, 5: 7-8, t.. 1 1
Cyd-Ref-743	Miq.	1932		In: in Engler, Pflanzenr. 99: 132
Cyd-Ref-682		1884		In: Biol. Cent.-Amer., Bot. 3: 193
Cyd-Ref-585	Dyer	1884		In: Biol. Cent.-Amer., Bot. 3: 193
