ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
2	500	Aulacophyllum		lindenii	(Regel ex André) Regel					5	
3	516	Aulacophyllum		montanum	(A.Braun) Regel					5	
4	449	Aulacophyllum		ortgiesii	Regel					5	
5	548	Aulacophyllum		roezlii	(Linden) Regel					5	
6	552	Aulacophyllum		skinneri	(Warsz. ex A.Dietr.) Regel					5	
7	8	Aulacophyllum		wallisii	(A.Braun) Regel					5	
11	9	Bowenia		spectabilis		serrata	var.	F.M.Bailey		5	
12	9	Bowenia		spectabilis		serrulata	var.	W.Bull		5	
681	10	Bowenia		spectabilis		spectabilis	var.			5	
14	371	Catakidozamia		hopei	W.Hill					5	
17	47	Ceratozamia		becerrae	Pérez-Farr., Vovides & Schutzman					5	
18	444	Ceratozamia		boliviana	Brongn.					5	
27	33	Ceratozamia		intermedia	Miq.					5	
28	488	Ceratozamia		katzeriana	Regel					5	
31	33	Ceratozamia		longifolia	Miq.					5	
743	374	Ceratozamia		mexicana		longifolia	var.	Miq.		5	
682	33	Ceratozamia		mexicana		mexicana	var.			5	
585	41	Ceratozamia		mexicana		robusta	var.	(Miq.) Dyer		5	
34	793	Ceratozamia		mexicana		tenuis	var.	Dyer		5	
49	547	Chigua		bernalii	D.W.Stev.					5	
50	547	Chigua		restrepoi	D.W.Stev.					5	
53	207	Cycas		acuminatissima	Hung T.Chang, Y.C.Zhong & Z.F.Lu					5	
795	595	Cycas		andamanica	K.Prassad, M.V.Ramana, Sanjappa & B.R.P.Rao					5	
64	180	Cycas		baguanheensis	L.K.Fu & S.Z.Cheng					5	
72	210	Cycas		brevipinnata	Hung T.Chang, Y.Y.Huang & Y.C.Zhong					5	
74	280	Cycas		caffra	Thunb.					5	
683	79	Cycas		canalis		canalis	subsp.			5	
78	79	Cycas		canalis		carinata	subsp.	K.D.Hill		5	
82	197	Cycas		celebica	Miq.					5	
84	196	Cycas		chamberlainii	W.H.Br. & Kienholz					5	
684	87	Cycas		circinalis		circinalis	f.			5	
88	128	Cycas		circinalis		glauca	f.	(Miq.) J.Schust.		5	
90	233	Cycas		circinalis		undulata	f.	(Hort. ex Gaudich.) J.Schust.		5	
685	87	Cycas		circinalis		circinalis	subsp.			5	
92	228	Cycas		circinalis		madagascariensis	subsp.	(Miq.) J.Schust.		5	
93	181	Cycas		circinalis		papuana	subsp.	(F.Muell.) J.Schust.		5	
723	93	Cycas		circinalis		papuana	subsp.			5	
94	205	Cycas		circinalis		papuana	subsp.	(F.Muell.) J.Schust.		5	
95	196	Cycas		circinalis		riuminiana	subsp.	(Porte ex Regel) J.Schust.		5	
96	84	Cycas		circinalis		riuminiana	subsp.	(Porte ex Regel) J.Schust.		5	
97	235	Cycas		circinalis		riuminiana	subsp.	(Porte ex Regel) J.Schust.		5	
98	115	Cycas		circinalis		riuminiana	subsp.	(Porte ex Regel) J.Schust.		5	
99	120	Cycas		circinalis		riuminiana	subsp.	(Porte ex Regel) J.Schust.		5	
724	95	Cycas		circinalis		riuminiana	subsp.			5	
100	206	Cycas		circinalis		seemannii	subsp.	(Regalado) J.Schust.		5	
101	228	Cycas		circinalis		thouarsii	subsp.	(R.Br. ex Gaudich.) Engl.		5	
726	87	Cycas		circinalis		vera	subsp.	J.Schust.		5	
102	67	Cycas		circinalis		vera	subsp.	J.Schust.		5	
103	183	Cycas		circinalis		vera	subsp.	J.Schust.		5	
725	726	Cycas		circinalis		vera	subsp.			5	
104	87	Cycas		circinalis		angustifolia	var.	Miq.		5	
686	87	Cycas		circinalis		circinalis	var.			5	
105	142	Cycas		circinalis		javana	var.	Miq.		5	
106	673	Cycas		circinalis		orixensis	var.	Haines		5	
687	107	Cycas		clivicola		clivicola	subsp.			5	
108	107	Cycas		clivicola		lutea	subsp.	K.D.Hill		5	
797	228	Cycas		comorensis	Bruant					5	
113	207	Cycas		crassipes	Hung T.Chang, Y.C.Zhong & Z.F.Lu					5	
812	595	Cycas		dharmrajii	L.J.Singh					5	
129	576	Cycas		gracilis	Miq.					5	
130	576	Cycas		gracilis		glauca	var.	Regel		5	
688	129	Cycas		gracilis		gracilis	var.			5	
131	576	Cycas		gracilis		viridis	var.	Regel		5	
135	85	Cycas		hainanensis		changjiangensis	subsp.	(N.Liu) N.Liu		5	
689	134	Cycas		hainanensis		hainanensis	subsp.			5	
139	213	Cycas		immersa	Craib					5	
143	183	Cycas		jenkinsiana	Griff.					5	
144	576	Cycas		kennedyana	F.Muell.					5	
148	134	Cycas		lingshuiensis	G.A.Fu					5	
149	120	Cycas		litoralis	K.D.Hill					5	
150	207	Cycas		longiconifera	Hung T.Chang, Y.C.Zhong & Y.Y.Huang					5	
151	570	Cycas		longipetiolula	D.Yue Wang					5	
152	210	Cycas		longisporophylla	F.N.Wei					5	
153	133	Cycas		longlinensis	Hung T.Chang & Y.C.Zhong					5	
158	228	Cycas		madagascariensis	Miq.					5	
800	66	Cycas		media		basaltica	var.	(C.A.Gardner) J.Schust.		5	
