taxonID	area	gazetteer	status	threatStatus
2		text		
3		text		
4		text		
5		text		
6		text		
7		text		
9	Australia (Queensland)	text		LC
10	Australia (Queensland)	text		LC
11		text		
12		text		
681		text		
14		text		
16	Mexico (Chiapas)	text		EN
17	Mexico (Chiapas, Tabasco)	text		EN
18		text		
19	Mexico (Veracruz)	text		[VU]
818	Mexico (Hidalgo, Querétaro, San Luis Potosí)	text		[NE]
20	Mexico (Oaxaca)	text		[CR]
21	Mexico (Veracruz)	text		[CR]
632	Mexico (Veracruz)	text		
22	Mexico (Oaxaca, Veracruz)	text		CR
23		text		
374	Mexico (Hidalgo, Veracruz)	text		CR
24	Mexico (Querétaro, San Luis Potosí)	text		EN
25	Honduras (Atlántida)	text		[CR]
26	Mexico (Veracruz)	text		CR
27		text		
28		text		
29	Mexico (Tamaulipas)	text		CR
30	Mexico (Hidalgo, Querétaro, San Luis Potosí, Veracruz)	text		EN
31		text		
32	Guatemala (Huehuetenango, San Marcos), Mexico (Chiapas)	text		EN
33	Mexico (?Puebla, Veracruz)	text		VU
743		text		
682		text		
585		text		
34		text		
35	Mexico (San Luis Potosí)	text		VU
36	Mexico (Chiapas, Tabasco, Veracruz)	text		CR
37	Mexico (Chiapas)	text		EN
38	Mexico (Oaxaca)	text		EN
39	Mexico (Veracruz)	text		EN
40	Mexico (Chiapas, Oaxaca)	text		EN
41	Belize (Cayo, Stann Creek, Toledo), Guatemala (Alta Verapaz, Petén, Quiché, Huehuetenango, Izabal), Mexico (Chiapas, Oaxaca, Veracruz)	text		EN
42	Mexico (Hidalgo, Querétaro)	text		EN
43	Mexico (Chiapas)	text		[CR]
817	Mexico (Veracruz)	text		[NE]
793	Mexico (Veracruz)	text		[NE}
814	Mexico (Puebla)	text		[NE]
44	Mexico (Chiapas)	text		VU
45	Mexico (Oaxaca)	text		EN
46	Mexico (San Luis Potosí)	text		CR
47	Mexico (Chiapas, Tabasco)	text		CR
49		text		
50		text		
52	Vietnam (Da Nang)	text		VU
53		text		
54	Philippines (Palawan - cult.)	text		[DD]
795		text		
55	Australia (Northern Territory, Queensland)	text		LC
56	India (Kerala)	text		CR
57	Indonesia (Papua), Papua New Guinea (West Sepik, Morobe)	text		NT
58	Australia (Northern Territory)	text		NT
