ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
2	Aulacophyllum lindenii	(Regel ex André) Regel	species				2		botanical		
3	Aulacophyllum montanum	(A.Braun) Regel	species				3		botanical		
4	Aulacophyllum ortgiesii	Regel	species				4		botanical		
5	Aulacophyllum roezlii	(Linden) Regel	species				5		botanical		
6	Aulacophyllum skinneri	(Warsz. ex A.Dietr.) Regel	species				6		botanical		
7	Aulacophyllum wallisii	(A.Braun) Regel	species				7		botanical		
9	Bowenia serrulata	(W.Bull) Chamb.	species				9		botanical		
10	Bowenia spectabilis	Hook. ex Hook.f.	species				10		botanical		
11	Bowenia spectabilis var. serrata	F.M.Bailey	var.				11		botanical		
12	Bowenia spectabilis var. serrulata	W.Bull	var.				12		botanical		
681	Bowenia spectabilis var. spectabilis		var.				681		botanical		
14	Catakidozamia hopei	W.Hill	species				14		botanical		
16	Ceratozamia alvarezii	Pérez-Farr., Vovides & Iglesias	species				16		botanical		
17	Ceratozamia becerrae	Pérez-Farr., Vovides & Schutzman	species				17		botanical		
18	Ceratozamia boliviana	Brongn.	species				18		botanical		
19	Ceratozamia brevifrons	Miq.	species				19		botanical		
818	Ceratozamia chamberlainii	Mart.-Domínguez, Nic.-Mor. & D.W.Stev.	species				818		botanical		
20	Ceratozamia chimalapensis	Pérez-Farr. & Vovides	species				20		botanical		
21	Ceratozamia decumbens	Vovides, Avendaño, Pérez-Farr. & Gonz.-Astorga	species				21		botanical		
632	Ceratozamia delucana	Vázq.Torres, A.Moretti & Carvajal-Hern.	species				632		botanical		
22	Ceratozamia euryphyllidia	Vázq.Torres, Sabato & D.W.Stev.	species				22		botanical		
23	Ceratozamia fuscoviridis	Moore	species				23		botanical	unavailable	
374	Ceratozamia fuscoviridis	W.Bull	species				374		botanical		
24	Ceratozamia hildae	G.P.Landry & M.C.Wilson	species				24		botanical		
25	Ceratozamia hondurensis	J.L.Haynes, Whitelock, Schutzman & R.S.Adams	species				25		botanical		
26	Ceratozamia huastecorum	Avendaño, Vovides & Cast.-Campos	species				26		botanical		
27	Ceratozamia intermedia	Miq.	species				27		botanical		
28	Ceratozamia katzeriana	Regel	species				28		botanical		
29	Ceratozamia kuesteriana	Regel	species				29		botanical		
30	Ceratozamia latifolia	Miq.	species				30		botanical		
31	Ceratozamia longifolia	Miq.	species				31		botanical		
32	Ceratozamia matudae	Lundell	species				32		botanical		
33	Ceratozamia mexicana	Brongn.	species				33		botanical		
743	Ceratozamia mexicana var. longifolia f. fuscoviridis	Miq.	f.				743		botanical		
682	Ceratozamia mexicana var. mexicana		var.				682		botanical		
585	Ceratozamia mexicana var. robusta	(Miq.) Dyer	var.				585		botanical		
34	Ceratozamia mexicana var. tenuis	Dyer	var.				34		botanical		
35	Ceratozamia microstrobila	Vovides & J.D.Rees	species				35		botanical		
36	Ceratozamia miqueliana	H.Wendl.	species				36		botanical		
37	Ceratozamia mirandae	Vovides, Pérez-Farr. & Iglesias	species				37		botanical		
38	Ceratozamia mixeorum	Chemnick, T.J.Greg. & Salas-Mor.	species				38		botanical		
39	Ceratozamia morettii	Vázq.Torres & Vovides	species				39		botanical		
40	Ceratozamia norstogii	D.W.Stev.	species				40		botanical		
41	Ceratozamia robusta	Miq.	species				41		botanical		
42	Ceratozamia sabatoi	Vovides, Vázq.Torres, Schutzman & Iglesias	species				42		botanical		
43	Ceratozamia santillanii	Pérez-Farr. & Vovides	species				43		botanical		
817	Ceratozamia subroseophylla	Mart.-Domínguez & Nic.-Mor.	species				817		botanical		
793	Ceratozamia tenuis	(Dyer) D.W.Stev. & Vovides	species				793		botanical		
814	Ceratozamia totonacorum	Mart.-Domínguez & Nic.-Mor.	species				814		botanical		
44	Ceratozamia vovidesii	Pérez-Farr. & Iglesias	species				44		botanical		
45	Ceratozamia whitelockiana	Chemnick & T.J.Greg.	species				45		botanical		
46	Ceratozamia zaragozae	Medellín	species				46		botanical		
47	Ceratozamia zoquorum	Pérez-Farr., Vovides & Iglesias	species				47		botanical		
49	Chigua bernalii	D.W.Stev.	species				49		botanical		
50	Chigua restrepoi	D.W.Stev.	species				50		botanical		
52	Cycas aculeata	K.D.Hill & T.H.Nguyên	species				52		botanical		
53	Cycas acuminatissima	Hung T.Chang, Y.C.Zhong & Z.F.Lu	species				53		botanical		
54	Cycas aenigma	K.D.Hill & A.Lindstr.	species				54		botanical		
795	Cycas andamanica	K.Prassad, M.V.Ramana, Sanjappa & B.R.P.Rao	species				795		botanical		
55	Cycas angulata	R.Br.	species				55		botanical		
56	Cycas annaikalensis	Rita Singh & P.Radha	species				56		botanical		
57	Cycas apoa	K.D.Hill	species				57		botanical		
58	Cycas arenicola	K.D.Hill	species				58		botanical		
59	Cycas armstrongii	Miq.	species				59		botanical		
60	Cycas arnhemica	K.D.Hill	species				60		botanical		
574	Cycas arnhemica subsp. arnhemica		subsp.				574		botanical		
61	Cycas arnhemica subsp. muninga	Chirgwin & K.D.Hill	subsp.				61		botanical		
62	Cycas arnhemica subsp. natja	K.D.Hill	subsp.				62		botanical		
63	Cycas badensis	K.D.Hill	species				63		botanical		
64	Cycas baguanheensis	L.K.Fu & S.Z.Cheng	species				64		botanical		
829	Cycas baiseensis	Y.Y.Huang, Y.C.Zhong & Z.F.Lu	species				829		botanical		
65	Cycas balansae	Warb.	species				65		botanical		
66	Cycas basaltica	C.A.Gardner	species				66		botanical		
