ID	citation	title	year	source	doi	link
2			1876	Gartenflora 25: 141		
3			1876	Gartenflora 25: 141		
4			1876	Gartenflora 25: 141		
5			1876	Gartenflora 25: 141		
6			1876	Gartenflora 25: 143		
7			1876	Gartenflora 25: 143		
9			1912	Bot. Gaz. 54: 419		
10			1863	Bot. Mag. 89: t. 5398		
11			1883	Syn. Queensl. Fl.: 501		
12			1878	Retail List [Bull] No. 143: 4, t. 5		
681			1878	Retail List [Bull] No. 143: 4		
14			1865	Gard. Chron. 22(47): 1107		
16			1999	Novon 9(3) 410-413, fig. 1		
17			2004	Bot. J. Linn. Soc. 146(1): 123-128, figs. 1-7		
18			1846	Ann. Sci. Nat., Bot. ser. 3, 5: 9		
19			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 41-42		
818			2017	Phytotaxa 317(1): 17-28		
20			2008	Bot. J. Linn. Soc. 157(2): 169-175, figs. 1-4		
21			2008	Novon 18(1): 109-114, fig. 1		
632			2013	Delpinoa 50-51: 129-133, figs. 1-5 (2008-2009 issued December 2013)		
22			1986	Brittonia 38(1): 17-26, figs. 1-5		
23			1878	Sci. Proc. Royal Dublin Soc., n.s., 2: 112-114		
374			1879	Retail List [Bull] No. 154: 4		
24			1979	Brittonia 31(3): 422-424, fig. 1		
25			2008	Cycad Newslett. 31 (2-3): 16-21, figs. 1-2		
26			2003	Bot. J. Linn. Soc. 141(3): 395-398, figs. 1-2		
27			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 40-41		
28			1876	Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 298		
29			1857	Bull. Soc. Imp. Naturalistes Moscou 30(1): 187-188, t. 3, fig. 6; t. 4, fig. 22		
30			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 206		
31			1847	Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 40		
32			1939	Lloydia 2(2): 75-76		
33			1846	Ann. Sci. Nat., Bot. ser. 3, 5: 7-8, t.. 1 1		
743			1932	in Engler, Pflanzenr. 99: 132		
682			1884	Biol. Cent.-Amer., Bot. 3: 193		
585			1884	Biol. Cent.-Amer., Bot. 3: 193		
34			1884	Biol. Cent.-Amer., Bot. 3: 193		
35			1983	Madroño 30(1): 39-42		
36			1854	Index Palm.: 68		
37			2001	Bot. J. Linn. Soc. 137(1): 81-85, fig. 1-2		
38			1998	Phytologia 83(1): 47-52 (1997 publ. 1998)		
39			1998	Novon 8(1): 87-90, fig. 1		
40			1982	Brittonia 34(2): 181-184, figs. 1-2		
41			1847	Tijdschr. Wis-Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 42-43		
42			1993	Novon 3(4): 502-504, fig. 1		
43			2009	Syst. Biodivers. 7(4): 433-443, figs. 3, 7		
817			2016	Phytotaxa 268(1): 25-45		
793			2016	Bot. Sci. 94(2): 419-429		
814			2017	Brittonia 69(4): 518. [epublished 31 May 2017]		
44			2007	Bot. J. Linn. Soc. 153(4): 393-400, figs. 1-6		
45			1996	Phytologia 79(1): 51-57 (1995 publ. 1996)		
46			1963	Brittonia 15(2): 175-176, figs. 1-4		
47			2001	Bot. J. Linn. Soc. 137(1): 77-80, fig.1		
49			1990	Mem. New York Bot. Gard. 57: 169-172, fig. 1i		
50			1990	Mem. New York Bot. Gard. 57: 169-172, figs. 1a-h		
52			2004	Bot. Rev. (Lancaster) 70(2): 149-150		
53			1998	Acta Sci. Nat. Univ. Sunyatseni 37(4): 6		
54			2008	Telopea 12(1): 130-132, fig. 3		
795			2015	Int. J. Innov. Sci. Res. 4 (1): 473-476		
55			1810	Prodr. Fl. Nov. Holland. 1: 348		
56			2006	Brittonia 58(2): 119-123, figs. 1-2		
57			1994	Austral. Syst. Bot. 7(6): 553-554, fig. 9		
58			1993	Telopea 5(2): 419-422		
59			1868	Arch. Néerl. Sci. Exact. Nat. 3: 235-236		
60			1994	Telopea 5(4): 693-696, fig. 1		
574			1996	Telopea 7(1): 43-44		
61			1996	Telopea 7(1): 44-46, fig. 20		
62			1996	Telopea 7(1): 46-47, fig. 21		
63			1996	Telopea 7(1): 20-21, fig. 9		
64			1981	Acta Phytotax. Sin. 19(3): 337		
829			2018	Mem. New York Bot. Gard. 117: 504518		
65			1900	Monsunia 1: 179		
66			1923	For. Dep. Bull., W. Austral. 32: 31		
67			1885	Trans. Linn. Soc. London, Bot. 2(5): 85-86, pl. 17		
68			1886	Ill. Hort. 33: 27, pl. 586		
69			2004	Bot. Rev. (Lancaster) 70(2): 161-163		
571			2008	Telopea 12(1): 104		
570			2008	Telopea 12(1): 104		
70			1994	Austral. Syst. Bot. 7(6): 557-560, fig. 11		
71			2004	Bot. Rev. (Lancaster) 70(2): 155-157, fig. 6		
72			0	Acta Sci. Nat. Univ. Sunyatseni 37(4): 8		
73			1992	Telopea 5(1): 200-201, fig. 15		
74			1775	Nova Acta Regiae Soc. Sci. Upsal. 2: 283-288, t. 5		
75			1876	Fragm. (Mueller) 10(83): 63, 121		
76			1978	J. Adelaide Bot. Gard. 1(3): 175, fig. 1		
77			1994	Austral. Syst. Bot. 7(6): 538-540		
79			1994	Telopea 5(4): 698-700, fig. 4a-d		
