ID	nameID	provisional	accordingTo	accordingToID	accordingToDate	fossil	recent	lifezone	link	kingdom	phylum	class	order	genus	family
9	9	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=9	Plantae	Tracheophyta	Cycadopsida	Cycadales	Bowenia	Zamiaceae
10	10	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=10	Plantae	Tracheophyta	Cycadopsida	Cycadales	Bowenia	Zamiaceae
16	16	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=16	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
19	19	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=19	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
818	818	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=818	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
20	20	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=20	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
21	21	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=21	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
632	632	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=632	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
22	22	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=22	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
374	374	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=374	Plantae	Tracheophyta	Cycadopsida	Cycadales	Ceratozamia	Zamiaceae
