SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
2	syn	500	hom	Zamiaceae	Aulacophyllum lindenii	Aulacophyllum	lindenii	(Regel ex André) Regel										Gartenflora 25: 141	1876		
3	syn	516	hom	Zamiaceae	Aulacophyllum montanum	Aulacophyllum	montanum	(A.Braun) Regel										Gartenflora 25: 141	1876		
4	syn	449	het	Zamiaceae	Aulacophyllum ortgiesii	Aulacophyllum	ortgiesii	Regel										Gartenflora 25: 141	1876		
5	syn	548	hom	Zamiaceae	Aulacophyllum roezlii	Aulacophyllum	roezlii	(Linden) Regel										Gartenflora 25: 141	1876		
6	syn	552	hom	Zamiaceae	Aulacophyllum skinneri	Aulacophyllum	skinneri	(Warsz. ex A.Dietr.) Regel										Gartenflora 25: 143	1876		
7	syn	8	hom	Zamiaceae	Aulacophyllum wallisii	Aulacophyllum	wallisii	(A.Braun) Regel										Gartenflora 25: 143	1876		
9	acc	0		Zamiaceae	Bowenia serrulata	Bowenia	serrulata	(W.Bull) Chamb.										Bot. Gaz. 54: 419	1912	LC	Australia (Queensland)
10	acc	0		Zamiaceae	Bowenia spectabilis	Bowenia	spectabilis	Hook. ex Hook.f.										Bot. Mag. 89: t. 5398	1863	LC	Australia (Queensland)
11	syn	9	het	Zamiaceae	Bowenia spectabilis var. serrata	Bowenia	spectabilis	Hook. ex Hook.f.	var.	serrata	F.M.Bailey							Syn. Queensl. Fl.: 501	1883		
12	syn	9	bas	Zamiaceae	Bowenia spectabilis var. serrulata	Bowenia	spectabilis	Hook. ex Hook.f.	var.	serrulata	W.Bull							Retail List [Bull] No. 143: 4, t. 5	1878		
681	syn	10	hom	Zamiaceae	Bowenia spectabilis var. spectabilis	Bowenia	spectabilis	Hook. ex Hook.f.	var.	spectabilis								Retail List [Bull] No. 143: 4	1878		
